sample_type,p_curved,p_MRW,run_id
ambiguous_mild_curvature,0.4633091688156128,0.4471041858196258,latest_eval
linear_mono,0.0225814338773489,0.1250747740268707,latest_eval
boundary_mrw,0.3133438229560852,0.3771995306015014,latest_eval
curved_mrw,0.803602397441864,0.8720192313194275,latest_eval
noisy_mono,0.158154010772705,0.2594243586063385,latest_eval
noisy_mrw,0.7431028485298157,0.8079483509063721,latest_eval
heavy_tail_distorted,0.3441380560398102,0.0326789952814579,latest_eval
regime_apparent,0.4339910745620727,0.1246034428477287,latest_eval
ambiguous_mild_curvature,0.4271080493927002,0.4219398498535156,latest_eval
linear_mono,0.0194380581378936,0.1229484602808952,latest_eval
boundary_mrw,0.3585056364536285,0.4247649312019348,latest_eval
curved_mrw,0.940407931804657,0.9773283004760742,latest_eval
noisy_mono,0.2247302830219268,0.2977869510650635,latest_eval
noisy_mrw,0.3493305742740631,0.3860498964786529,latest_eval
heavy_tail_distorted,0.3527200222015381,0.0604045093059539,latest_eval
regime_apparent,0.4472448229789734,0.1186775937676429,latest_eval
ambiguous_mild_curvature,0.4075223803520202,0.4055050611495971,latest_eval
linear_mono,0.0387873724102973,0.1460259854793548,latest_eval
boundary_mrw,0.2931750416755676,0.3592129349708557,latest_eval
curved_mrw,0.923404574394226,0.9654831290245056,latest_eval
noisy_mono,0.1584450751543045,0.2562275230884552,latest_eval
noisy_mrw,0.645906925201416,0.7024771571159363,latest_eval
heavy_tail_distorted,0.3369297087192535,0.0556324161589145,latest_eval
regime_apparent,0.4416877627372741,0.1135564595460891,latest_eval
ambiguous_mild_curvature,0.4204069077968597,0.4104894995689392,latest_eval
linear_mono,0.0198073852807283,0.1232004761695861,latest_eval
boundary_mrw,0.1770756989717483,0.2928706407546997,latest_eval
curved_mrw,0.879684329032898,0.9379816055297852,latest_eval
noisy_mono,0.1306619793176651,0.230249747633934,latest_eval
noisy_mrw,0.3864863812923431,0.4160830676555633,latest_eval
heavy_tail_distorted,0.366879791021347,0.0484514459967613,latest_eval
regime_apparent,0.4348129034042358,0.1063214093446731,latest_eval
ambiguous_mild_curvature,0.4635224044322967,0.4469705820083618,latest_eval
linear_mono,0.0227336753159761,0.1252564638853073,latest_eval
boundary_mrw,0.3157205581665039,0.377616822719574,latest_eval
curved_mrw,0.941756546497345,0.9780329465866088,latest_eval
noisy_mono,0.1784913539886474,0.2742110192775726,latest_eval
noisy_mrw,0.7616646885871887,0.8195221424102783,latest_eval
heavy_tail_distorted,0.3371764719486236,0.0412382632493972,latest_eval
