time,omega_t,increment,path,H,lambda2,L,seed
233.0,-0.3871033191680908,0.0033859391696751,0.5346578359603882,0.6,0.12,512,2026
234.0,-0.3933049440383911,-0.0106963915750384,0.5239614248275757,0.6,0.12,512,2026
235.0,-0.3948276340961456,-0.0142442919313907,0.5097171068191528,0.6,0.12,512,2026
236.0,-0.3981871306896209,8.592041558586061e-05,0.509803056716919,0.6,0.12,512,2026
237.0,-0.4013053774833679,-0.0076400572434067,0.5021629929542542,0.6,0.12,512,2026
238.0,-0.395796537399292,-0.0127767771482467,0.4893862307071686,0.6,0.12,512,2026
239.0,-0.3823227882385254,0.0094866976141929,0.4988729059696197,0.6,0.12,512,2026
240.0,-0.390976995229721,0.0146688297390937,0.5135417580604553,0.6,0.12,512,2026
241.0,-0.3879659175872803,-0.0059001673944294,0.5076415538787842,0.6,0.12,512,2026
242.0,-0.3884530365467071,-0.009592430666089,0.4980491399765014,0.6,0.12,512,2026
243.0,-0.3839341998100281,0.0107181631028652,0.508767306804657,0.6,0.12,512,2026
244.0,-0.3874385952949524,0.0269784517586231,0.5357457399368286,0.6,0.12,512,2026
245.0,-0.3776881098747253,0.0015442016301676,0.5372899770736694,0.6,0.12,512,2026
246.0,-0.3739892542362213,0.012196073308587,0.5494860410690308,0.6,0.12,512,2026
247.0,-0.3717915415763855,0.0080407187342643,0.5575267672538757,0.6,0.12,512,2026
248.0,-0.3731518387794494,0.0008020373061299,0.5583288073539734,0.6,0.12,512,2026
249.0,-0.3840802609920501,-0.0073273563757538,0.5510014295578003,0.6,0.12,512,2026
250.0,-0.3854168653488159,0.0081223053857684,0.5591237545013428,0.6,0.12,512,2026
251.0,-0.3912700414657593,-2.8211983590153977e-05,0.5590955018997192,0.6,0.12,512,2026
252.0,-0.393791526556015,-0.0006387988105416,0.5584567189216614,0.6,0.12,512,2026
253.0,-0.3916670680046081,0.0075387642718851,0.5659955143928528,0.6,0.12,512,2026
254.0,-0.3902659118175506,0.0048502911813557,0.5708457827568054,0.6,0.12,512,2026
255.0,-0.3861598968505859,0.0066213351674377,0.577467143535614,0.6,0.12,512,2026
256.0,-0.3750098943710327,0.0182450283318758,0.5957121253013611,0.6,0.12,512,2026
257.0,-0.3834887444972992,0.0041950293816626,0.5999071598052979,0.6,0.12,512,2026
258.0,-0.3839120268821716,0.0216925274580717,0.6215997338294983,0.6,0.12,512,2026
259.0,-0.3776431679725647,0.0074685630388557,0.6290682554244995,0.6,0.12,512,2026
260.0,-0.3743877708911896,-0.004420191515237,0.6246480941772461,0.6,0.12,512,2026
261.0,-0.3856735527515411,-0.0011911081383004,0.6234569549560547,0.6,0.12,512,2026
262.0,-0.3856006562709808,0.009223804809153,0.6326807737350464,0.6,0.12,512,2026
263.0,-0.3729384541511535,0.0097907893359661,0.6424715518951416,0.6,0.12,512,2026
264.0,-0.378770649433136,-0.0075858002528548,0.6348857879638672,0.6,0.12,512,2026
265.0,-0.378067672252655,-0.0161158200353384,0.6187699437141418,0.6,0.12,512,2026
266.0,-0.3861514329910278,-0.001613111118786,0.6171568036079407,0.6,0.12,512,2026
267.0,-0.3834266364574432,0.0129581009969115,0.6301149129867554,0.6,0.12,512,2026
268.0,-0.3720951378345489,0.003343804506585,0.6334587335586548,0.6,0.12,512,2026
269.0,-0.3744274377822876,-0.0022879138123244,0.6311708092689514,0.6,0.12,512,2026
270.0,-0.3766619265079498,0.0085199596360325,0.6396907567977905,0.6,0.12,512,2026
271.0,-0.3732400834560394,0.0125546203926205,0.6522454023361206,0.6,0.12,512,2026
272.0,-0.3730633854866028,0.0070285643450915,0.6592739820480347,0.6,0.12,512,2026
273.0,-0.3671413660049438,-0.0038370869588106,0.6554368734359741,0.6,0.12,512,2026
274.0,-0.3777719736099243,0.0208148267120122,0.6762517094612122,0.6,0.12,512,2026
275.0,-0.3860346674919128,0.0083596482872962,0.6846113801002502,0.6,0.12,512,2026
276.0,-0.3770193755626678,-0.0004714028036687,0.6841399669647217,0.6,0.12,512,2026
277.0,-0.3692258596420288,0.0148030538111925,0.698943018913269,0.6,0.12,512,2026
278.0,-0.371799498796463,0.0153616014868021,0.7143046259880066,0.6,0.12,512,2026
279.0,-0.3836314678192138,0.0143729103729128,0.72867751121521,0.6,0.12,512,2026
280.0,-0.3763079345226288,0.0049986098892986,0.7336761355400085,0.6,0.12,512,2026
281.0,-0.3884204030036926,-0.0056967786513268,0.7279793620109558,0.6,0.12,512,2026
282.0,-0.3872957229614258,0.0095018511638045,0.7374811768531799,0.6,0.12,512,2026
283.0,-0.3767156302928924,-0.0095089590176939,0.7279722690582275,0.6,0.12,512,2026
284.0,-0.3778229057788849,0.0228563416749238,0.7508285641670227,0.6,0.12,512,2026
