t,x,dx,omega,H,lambda2,L,seed
199.0,0.4555821418762207,0.009058096446096897,-0.396304190158844,0.6,0.12,512,2026
200.0,0.4794723391532898,0.02389020286500454,-0.39634203910827637,0.6,0.12,512,2026
201.0,0.4784025549888611,-0.001069782068952918,-0.3948889672756195,0.6,0.12,512,2026
202.0,0.47162359952926636,-0.006778939627110958,-0.40062785148620605,0.6,0.12,512,2026
203.0,0.492358535528183,0.020734934136271477,-0.39409223198890686,0.6,0.12,512,2026
204.0,0.5051278471946716,0.012769271619617939,-0.3946076035499573,0.6,0.12,512,2026
205.0,0.5073281526565552,0.002200308023020625,-0.3974020481109619,0.6,0.12,512,2026
206.0,0.5197234153747559,0.012395307421684265,-0.39694732427597046,0.6,0.12,512,2026
207.0,0.5014697313308716,-0.018253715708851814,-0.39224299788475037,0.6,0.12,512,2026
208.0,0.49676451086997986,-0.004705203231424093,-0.39517056941986084,0.6,0.12,512,2026
209.0,0.48685669898986816,-0.009907824918627739,-0.3910641372203827,0.6,0.12,512,2026
210.0,0.4896959662437439,0.0028392686508595943,-0.38641107082366943,0.6,0.12,512,2026
211.0,0.5029240250587463,0.013228069059550762,-0.38994961977005005,0.6,0.12,512,2026
212.0,0.5066770315170288,0.003753016237169504,-0.39494138956069946,0.6,0.12,512,2026
213.0,0.5099500417709351,0.00327302236109972,-0.396102637052536,0.6,0.12,512,2026
214.0,0.4979543089866638,-0.011995753273367882,-0.3982064723968506,0.6,0.12,512,2026
215.0,0.4955596327781677,-0.002394675277173519,-0.3995051980018616,0.6,0.12,512,2026
216.0,0.5095416903495789,0.013982055708765984,-0.3918786644935608,0.6,0.12,512,2026
217.0,0.5201621055603027,0.01062038354575634,-0.3970438539981842,0.6,0.12,512,2026
218.0,0.5283759832382202,0.00821387954056263,-0.3973029553890228,0.6,0.12,512,2026
219.0,0.530874490737915,0.0024985407944768667,-0.3985966444015503,0.6,0.12,512,2026
220.0,0.526399552822113,-0.004474954679608345,-0.39653968811035156,0.6,0.12,512,2026
221.0,0.5253435969352722,-0.0010559394722804427,-0.40133994817733765,0.6,0.12,512,2026
222.0,0.5242272019386292,-0.001116376486606896,-0.3932359516620636,0.6,0.12,512,2026
223.0,0.5306493639945984,0.006422141101211309,-0.3891638517379761,0.6,0.12,512,2026
224.0,0.560322642326355,0.029673295095562935,-0.3851330578327179,0.6,0.12,512,2026
225.0,0.5659647583961487,0.005642096046358347,-0.393383264541626,0.6,0.12,512,2026
226.0,0.5643688440322876,-0.0015959013253450394,-0.3895666003227234,0.6,0.12,512,2026
227.0,0.5771178603172302,0.012749028392136097,-0.3862649202346802,0.6,0.12,512,2026
228.0,0.5629476308822632,-0.014170284382998943,-0.3873458206653595,0.6,0.12,512,2026
229.0,0.5609967708587646,-0.0019508645636960864,-0.39394184947013855,0.6,0.12,512,2026
230.0,0.5436431169509888,-0.017353640869259834,-0.390041708946228,0.6,0.12,512,2026
231.0,0.5343227386474609,-0.009320385754108429,-0.38939422369003296,0.6,0.12,512,2026
232.0,0.5312718749046326,-0.00305083766579628,-0.3809673488140106,0.6,0.12,512,2026
233.0,0.5346578359603882,0.0033859391696751118,-0.3871033191680908,0.6,0.12,512,2026
234.0,0.5239614248275757,-0.010696391575038433,-0.3933049440383911,0.6,0.12,512,2026
235.0,0.5097171068191528,-0.014244291931390762,-0.39482763409614563,0.6,0.12,512,2026
236.0,0.509803056716919,8.592041558586061e-05,-0.39818713068962097,0.6,0.12,512,2026
237.0,0.5021629929542542,-0.007640057243406773,-0.4013053774833679,0.6,0.12,512,2026
238.0,0.4893862307071686,-0.012776777148246765,-0.395796537399292,0.6,0.12,512,2026
239.0,0.49887290596961975,0.009486697614192963,-0.3823227882385254,0.6,0.12,512,2026
240.0,0.5135417580604553,0.01466882973909378,-0.39097699522972107,0.6,0.12,512,2026
241.0,0.5076415538787842,-0.005900167394429445,-0.3879659175872803,0.6,0.12,512,2026
242.0,0.49804913997650146,-0.009592430666089058,-0.38845303654670715,0.6,0.12,512,2026
243.0,0.508767306804657,0.010718163102865219,-0.3839341998100281,0.6,0.12,512,2026
