version,T,process_type,mean_p_scaling,mean_p_curved,mean_p_mrw,mean_p_mono,mean_boundary_mrw_score,mean_residual_norm,mean_mono_residual_norm,mean_gain
calibrated,512,Low-lambda2 MRW,0.999776632587115,0.4903327959279219,0.6162155439456304,0.5952554667989413,0.4439050460855166,0.0337914023703585,0.0509423159528523,
calibrated,512,MRW,0.9998643428087236,0.4795650210541983,0.5959590259939432,0.5988938264548779,0.4361018980542818,0.0350206857391943,0.0503178383844594,
calibrated,512,Regime-switching Gaussian,0.9919265270233154,0.2986924991011619,0.3517724881569544,0.3727342093984286,0.2899955565730731,0.3744798705913126,0.389082732455184,
calibrated,512,Shuffled MRW,0.9999805569648744,0.263913556560874,0.3814891712533103,0.7464382227924135,0.3577856693002912,0.0446220823149714,0.0444453856286903,
calibrated,512,fGn,0.9998795330524444,0.5137335945334699,0.6267611040009393,0.5778556019067764,0.4350319565998183,0.0331758653020693,0.0496593514250384,
calibrated,512,iid Gaussian,0.999993501106898,0.2490041910360257,0.3660580731928348,0.766639597217242,0.3635540674130121,0.0384626587852835,0.0377774872972319,
calibrated,512,iid Student-t,0.9850862357351516,0.2864542644884851,0.3036729077498118,0.3390679700507058,0.2882922208971447,0.3950471809754769,0.4108547252706355,
calibrated,1024,"GARCH(1,1)",0.9937193403641384,0.2992338264981906,0.3605885893106461,0.4272593552867571,0.2945154771208763,0.3226618621032685,0.3362727992236614,
calibrated,1024,Low-lambda2 MRW,0.9998613586028416,0.5549394258608421,0.6711994960904122,0.5383860170841217,0.438291922211647,0.0368480194980899,0.0553552638118465,
calibrated,1024,MRW,0.9997371266285578,0.521553009065489,0.6291398485501607,0.5696925558149815,0.4301624638338884,0.0360391129506751,0.051766470602403,
calibrated,1024,Regime-switching Gaussian,0.991358349720637,0.2958135684331258,0.3428379272421201,0.348973981042703,0.2874934683243433,0.4029159429172674,0.4193099116285642,
calibrated,1024,Shuffled MRW,0.999990627500746,0.2139631972544723,0.3289506268170145,0.7856281571918063,0.355921024746365,0.037421247921884,0.0351021204040282,
calibrated,1024,fGn,0.9998510115676456,0.5293603335403734,0.6380387590991126,0.5644610318872664,0.4134261717398961,0.0359643364946047,0.0522179754347437,
calibrated,1024,iid Gaussian,0.9999918341636658,0.2051413154850403,0.3203532360494137,0.7927602479855219,0.352322469651699,0.0405088042064259,0.037651986721903,
calibrated,1024,iid Student-t,0.9850695669651032,0.2874555779827966,0.3042190200752682,0.3313518676492903,0.2871170997619628,0.4069866206910875,0.4243182728687922,
calibrated,2048,"GARCH(1,1)",0.9930080513159434,0.3002132811894019,0.3563633913795153,0.3778899148106575,0.2885163679718971,0.3805726403991381,0.3967727145180106,
calibrated,2048,Low-lambda2 MRW,0.9998463451862336,0.5393447078764438,0.6423282404740651,0.5550919304291407,0.410206826031208,0.0364364865856866,0.0516885831331213,
calibrated,2048,MRW,0.9998261402050654,0.5335760271797577,0.6381414478023847,0.5663621924817562,0.4191709438959757,0.0353438206017017,0.0508965327171608,
calibrated,2048,Regime-switching Gaussian,0.9916713078816732,0.293142893910408,0.3417967403928438,0.3440987646579742,0.2865984390179316,0.4183545564611753,0.4362941801548004,
calibrated,2048,Shuffled MRW,0.9999905824661256,0.194604955572221,0.3078679713937971,0.8035984814167023,0.349623108903567,0.0370961412683957,0.0345324788346058,
calibrated,2048,fGn,0.9997428364223904,0.5510984222094218,0.6527209589878719,0.5500102983580695,0.4146080679363674,0.0348537932460506,0.0517047361160318,
calibrated,2048,iid Gaussian,0.9999921182791393,0.178280409052968,0.2923422239720821,0.8148449798425038,0.3479461813966433,0.0390932921009759,0.0362699553991357,
calibrated,2048,iid Student-t,0.9833164831002552,0.2838962237040202,0.2888721376657486,0.3277776688337326,0.2866691592666838,0.4137765927447213,0.4321712185939153,
